Element,Overall,,,,,,,,RCF,,,,,,,,,,,,,HDO,,,,,EHF,,,,,Cellulosic ethanol,EHF,,OP,,MP,,TEA
Feature,Operating days [days],Poplar feedstock price [USD/DMT],Labor cost [USD/yr],Electricity cost [USD/kWh],RN co-product credit [USD/kg],RD co-product credit [USD/kg],Hydrogen price [USD/kg],Hydrogen storage period [days],Solvolysis reactor pressure [Pa],Solvolysis reaction time [hr],Solvolysis residence time [hr],Solvolysis cleaning time [hr],Methanol cost [USD/kg],RCF solvent losses [-],RCF catalyst price [USD/kg],RCF catalyst lifetime [months],RCF catalyst loading [kg/kg-biomass],Cellulose retention [%],Xylose retention [%],Delignfication [%],Condensation extent [%],HDO reaction time [hr],HDO solvent loading [m3/kg monomer],HDO catalyst loading [kg/kg monomer],HDO catalyst lifetime [months],Dodecane cost [USD/kg],Glucose to ethanol conv. [-],Glucan to glucose conv. [-],Saccharification residence time [hr],Cofermentation residence time [hr],Xylose to ethanol conv. [-],Xylan to xylose conversion [-],Cellulase enzyme loading [wt%],Cellulase price [USD/kg],Et oac solvent to crude ratio [L/kg],Ethyl acetate price [USD/kg],Hexane solvent to pure oil ratio [kg/kg],Hexane price [USD/kg],Minimum jet selling price [USD/gal]
31,310.3473654,61.34459703,15396104.81,0.096834032,0.73016998,1.329451326,6.86722428,1.185195509,8254529.324,2.917112303,0.480673467,2.801922377,0.381544601,0.039711197,48.47307126,19.39355433,0.067557037,0.904177808,0.29421797,0.787213802,0.587582635,2.547138261,0.058844123,0.908829098,1.77746268,0.104068547,0.936175895,0.826226771,53.11680903,30.08821153,0.834642801,0.843747787,0.038008469,0.414488607,7.83127711,1.060311758,2.260644099,0.831078233,29.38272865
32,335.8877815,92.33159157,24650485.39,0.085746898,0.551510117,1.413111917,10.76724129,2.180470897,8227786.934,1.997723273,0.513962036,1.497459758,0.311746893,0.050656925,41.62494853,23.84529931,0.06441474,0.834371429,0.302702045,0.880819316,0.652771598,5.609640209,0.060820798,1.125888285,1.641995763,0.711038748,0.851741536,0.86282567,52.16240267,35.93442482,0.896975138,0.834452671,0.046379656,0.443990714,9.328351076,0.736029748,2.835615042,1.001899061,35.98436304
33,303.2409593,92.76777544,23420160.33,0.103400686,0.692023296,1.146014925,6.891625582,1.661054357,7270520.407,2.499682004,0.287568259,1.967751639,0.338125371,0.015818539,18.94228759,18.29800819,0.11699193,0.820833323,0.529726554,0.4036507,0.581311527,6.24600886,0.053669727,0.684369677,2.226331463,0.284845621,0.917320573,0.879687271,71.033295,29.00567805,0.845607583,0.868585403,0.047081359,0.395642565,9.568906465,0.950313468,3.582630958,1.287223355,34.65791441
34,339.7780054,50.00017269,22525342.84,0.09969761,0.748378162,1.222877384,7.530993756,1.137355986,7919672.055,3.212758833,0.382731771,2.916996316,0.298896053,0.092108429,40.70683623,12.89281299,0.076384753,0.91039349,0.756296295,0.696319455,0.598770414,6.992767818,0.059189716,0.775174395,2.331681891,0.286006049,0.828114501,0.811662185,52.97672416,41.53500127,0.83605818,0.851203317,0.047959928,0.323535362,10.48419848,0.491557954,1.255798847,0.683936898,30.34636694
35,313.853645,93.34981929,15542358.47,0.159404823,0.583699496,1.273344526,11.31704169,0.455918586,7577231.464,1.379614569,0.51680626,2.839798225,0.305214596,0.005047121,22.7537104,14.7068658,0.104729463,0.851480932,0.978792735,0.555719089,0.606725702,3.553422896,0.010339909,0.57330411,3.72861121,0.63497996,0.947088378,0.844888981,65.88852225,40.56102471,0.820831352,0.895406318,0.045879289,0.486242116,8.050046676,0.804922897,2.208524509,1.374856528,24.04512202
36,331.3957398,87.13595424,11116147.45,0.106752775,0.738938528,1.351437937,9.426577025,0.401426661,6534626.367,1.192223747,0.499918701,2.549895377,0.318056368,0.093271485,31.55673944,9.323104883,0.137626001,0.928821216,0.215840245,0.514143401,0.331819575,3.171541058,0.063596475,0.792440969,4.324277515,0.694185104,0.894693953,0.890534057,49.01460821,39.45389889,0.877730664,0.853342554,0.046196672,0.343619977,9.659804116,0.843344622,1.483357935,0.681080553,26.00704021
37,346.0435808,77.57269533,24385450.57,0.117121226,0.716373002,1.094169518,9.886788881,1.563302238,6520182.581,1.740590938,0.277793694,3.435661155,0.280838413,0.032558197,47.20709084,11.85249025,0.136678079,0.872735756,0.700844641,0.49012621,0.620449169,4.980217091,0.015942182,0.474180943,7.381442346,0.843370118,0.81360401,0.883535727,61.02419321,38.23422187,0.800492,0.80188107,0.019946969,0.500876702,10.56018891,0.936841198,2.336886879,1.508373557,30.96304706
38,338.9836923,97.58935726,22820119.66,0.131473923,0.750998857,1.024990852,3.009873753,0.770515675,8104520.585,1.503489127,0.355895565,2.864515293,0.308901052,0.035017811,28.98057397,9.872099445,0.050123347,0.84560737,0.311523958,0.842327723,0.074281053,6.763982049,0.048366191,0.80440841,2.869226546,0.240490022,0.90348524,0.845706382,59.15593585,42.52316842,0.831353883,0.830839844,0.044352974,0.562939696,10.34059223,0.808184729,4.784212199,1.75807294,29.64729147
39,353.973839,52.51170588,24462868.03,0.162129086,0.698413779,0.651565131,9.283896491,1.647890522,6347394.948,1.437049265,0.504027415,3.451778147,0.33241131,0.06375439,48.73615629,21.71704528,0.054426341,0.80252848,0.203805518,0.814284843,0.18966094,6.641387897,0.056226279,0.990930976,3.158849743,0.76998758,0.830954525,0.840413897,53.94492347,39.61092765,0.845637539,0.865271588,0.048423913,0.32178559,9.161244413,0.792147635,2.125111777,0.66690839,32.34718422
40,326.8286339,60.56134853,12639614.21,0.111847796,0.602582395,0.8828016,6.774938608,1.98707899,6337632.206,3.103756128,0.349902768,3.258505636,0.319983296,0.008164162,49.59731268,13.46248284,0.08221853,0.900067287,0.213562531,0.780980749,0.129496206,3.749171748,0.055507951,0.689773434,5.557361709,0.340145247,0.817310855,0.831323086,66.73164432,33.86923351,0.895712337,0.826156855,0.011517256,0.278006809,9.760050592,0.888532276,4.733380739,0.982635598,29.17743887
